Username:
ID:
ADC Setup=4096,
Gain=40,
Threshold=50,
Real= 2000.00,
Live= 1950.66
Channel	Counts
0,	293
1,	88
2,	0
3,	0
4,	0
5,	0
6,	0
7,	0
8,	2
9,	0
10,	0
11,	0
12,	0
13,	0
14,	0
15,	0
16,	0
17,	0
18,	1
19,	0
20,	0
21,	0
22,	0
23,	0
24,	0
25,	0
26,	0
27,	0
28,	0
29,	0
30,	0
31,	1
32,	0
33,	0
34,	0
35,	0
36,	0
37,	0
38,	0
39,	0
40,	0
41,	0
42,	0
43,	0
44,	0
45,	0
46,	0
47,	0
48,	0
49,	0
50,	0
51,	0
52,	1
53,	0
54,	0
55,	0
56,	0
57,	0
58,	0
59,	0
60,	0
61,	0
62,	0
63,	0
64,	0
65,	0
66,	0
67,	0
68,	0
69,	0
70,	0
71,	1
72,	0
73,	0
74,	0
75,	0
76,	0
77,	0
78,	0
79,	0
80,	0
81,	0
82,	0
83,	0
84,	1
85,	0
86,	2
87,	0
88,	0
89,	0
90,	0
91,	0
92,	0
93,	0
94,	0
95,	0
96,	0
97,	2
98,	0
99,	3
100,	1
101,	0
102,	0
103,	1
104,	2
105,	0
106,	1
107,	1
108,	0
109,	0
110,	0
111,	1
112,	0
113,	0
114,	0
115,	0
116,	1
117,	0
118,	0
119,	1
120,	1
121,	1
122,	4
123,	0
124,	3
125,	3
126,	1
127,	14
128,	15
129,	26
130,	804
131,	3265
132,	4087
133,	4371
134,	4529
135,	5122
136,	5285
137,	5410
138,	5477
139,	5453
140,	5221
141,	5240
142,	4998
143,	5049
144,	5032
145,	5060
146,	5060
147,	5079
148,	5215
149,	5217
150,	5333
151,	5304
152,	5231
153,	5185
154,	5341
155,	5295
156,	5355
157,	5397
158,	5220
159,	5325
160,	5348
161,	5436
162,	5255
163,	5370
164,	5316
165,	5344
166,	5441
167,	5286
168,	5407
169,	5436
170,	5430
171,	5469
172,	5555
173,	5579
174,	5472
175,	5427
176,	5579
177,	5622
178,	5590
179,	5697
180,	5736
181,	5775
182,	5651
183,	5743
184,	5683
185,	5730
186,	5918
187,	5899
188,	5868
189,	6034
190,	6205
191,	6150
192,	6457
193,	6378
194,	6536
195,	6541
196,	6241
197,	6247
198,	6163
199,	5985
200,	5744
201,	5551
202,	5350
203,	5320
204,	5193
205,	5242
206,	5124
207,	4941
208,	4980
209,	4980
210,	4884
211,	4956
212,	4847
213,	4833
214,	4855
215,	4815
216,	4741
217,	4818
218,	4947
219,	4856
220,	4744
221,	4818
222,	4933
223,	4765
224,	4689
225,	4755
226,	4742
227,	4751
228,	4780
229,	4617
230,	4700
231,	4650
232,	4678
233,	4621
234,	4743
235,	4703
236,	4659
237,	4491
238,	4731
239,	4628
240,	4703
241,	4740
242,	4569
243,	4659
244,	4832
245,	4681
246,	4670
247,	4632
248,	4667
249,	4573
250,	4852
251,	4753
252,	4728
253,	4746
254,	4805
255,	4772
256,	4721
257,	4697
258,	4762
259,	4765
260,	4710
261,	4706
262,	4654
263,	4704
264,	4732
265,	4760
266,	4702
267,	4626
268,	4625
269,	4631
270,	4590
271,	4602
272,	4464
273,	4574
274,	4448
275,	4430
276,	4269
277,	4175
278,	4173
279,	4218
280,	4055
281,	3815
282,	3784
283,	3770
284,	3581
285,	3558
286,	3640
287,	3494
288,	3468
289,	3242
290,	3246
291,	3205
292,	3226
293,	3232
294,	3040
295,	3206
296,	3103
297,	3119
298,	3112
299,	3088
300,	2972
301,	3176
302,	3055
303,	3022
304,	3141
305,	3273
306,	3238
307,	3244
308,	3348
309,	3302
310,	3325
311,	3266
312,	3187
313,	3146
314,	3172
315,	3001
316,	2864
317,	2773
318,	2705
319,	2680
320,	2484
321,	2463
322,	2486
323,	2497
324,	2416
325,	2404
326,	2409
327,	2414
328,	2401
329,	2320
330,	2377
331,	2306
332,	2197
333,	2257
334,	2176
335,	2168
336,	2168
337,	2254
338,	2201
339,	2105
340,	2131
341,	2127
342,	2090
343,	2035
344,	2062
345,	1983
346,	2092
347,	2034
348,	1986
349,	1976
350,	1948
351,	2027
352,	1975
353,	1999
354,	1953
355,	1944
356,	1920
357,	1910
358,	1904
359,	1914
360,	1943
361,	1850
362,	1942
363,	1814
364,	1815
365,	1909
366,	1841
367,	1897
368,	1896
369,	1864
370,	1888
371,	1796
372,	1816
373,	1805
374,	1771
375,	1812
376,	1844
377,	1762
378,	1788
379,	1758
380,	1805
381,	1834
382,	1830
383,	1766
384,	1804
385,	1890
386,	1882
387,	1849
388,	1902
389,	1814
390,	1912
391,	1925
392,	1882
393,	1866
394,	1941
395,	1949
396,	2009
397,	2135
398,	2204
399,	2349
400,	2565
401,	2886
402,	3244
403,	3737
404,	4373
405,	5018
406,	5971
407,	6713
408,	7443
409,	8238
